Date : 2024-09-28 11:54:11
Directory : c:\Users\alber\Documents\Programmieren\Capella\Capella
Total : 413 files,  28867 codes, 725 comments, 3156 blanks, all 32748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\alber\Documents\Programmieren\Capella\Capella\README.md                                                                                                                     | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\angular.json                                                                                                                  | JSON               |        104 |          0 |          1 |        105 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\package-lock.json                                                                                                             | JSON               |     12,595 |          0 |          1 |     12,596 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\package.json                                                                                                                  | JSON               |         38 |          0 |          0 |         38 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app-routing.module.ts                                                                                                 | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app.component.html                                                                                                    | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app.component.scss                                                                                                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app.component.spec.ts                                                                                                 | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app.component.ts                                                                                                      | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\app.module.ts                                                                                                         | TypeScript         |         87 |          0 |          3 |         90 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\canvas\_canvas.scss                                                                                            | SCSS               |         14 |          0 |          3 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\canvas\canvas.ts                                                                                               | TypeScript         |         57 |         12 |         12 |         81 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\abstract\abstractDrawerService.ts                                                                      | TypeScript         |         15 |          0 |          7 |         22 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\abstract\canvasClickerElement.ts                                                                       | TypeScript         |          8 |          2 |          4 |         14 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\abstract\canvasDrawer.ts                                                                               | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\abstract\canvasIdElement.ts                                                                            | TypeScript         |         13 |          2 |          5 |         20 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\modes\mode.ts                                                                                          | TypeScript         |         11 |          0 |          8 |         19 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\pointerController.ts                                                                                   | TypeScript         |        255 |         26 |         42 |        323 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\renderingContext\abstractRenderingContext.ts                                                           | TypeScript         |        160 |          9 |         34 |        203 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\renderingContext\renderingContext.ts                                                                   | TypeScript         |        407 |         77 |         96 |        580 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\renderingContext\renderingUtils.ts                                                                     | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbon.ts                                                                                       | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonButton.ts                                                                                 | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonColorPicker.ts                                                                            | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonPenPicker.ts                                                                              | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonPointerModeToggle.ts                                                                      | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonText.ts                                                                                   | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonToggle.ts                                                                                 | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\classes\ribbon\ribbonView.ts                                                                                   | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\confirmation-dialog\confirmation-dialog.component.html                                                  | HTML               |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\confirmation-dialog\confirmation-dialog.component.scss                                                  | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\confirmation-dialog\confirmation-dialog.component.spec.ts                                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\confirmation-dialog\confirmation-dialog.component.ts                                                    | TypeScript         |         42 |          0 |          8 |         50 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog.service.spec.ts                                                                                  | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog.service.ts                                                                                       | TypeScript         |         17 |          3 |          8 |         28 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog.ts                                                                                               | TypeScript         |         20 |          1 |          9 |         30 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog\dialog.component.html                                                                            | HTML               |          5 |          0 |          1 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog\dialog.component.scss                                                                            | SCSS               |         31 |          0 |          5 |         36 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog\dialog.component.spec.ts                                                                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\dialog\dialog\dialog.component.ts                                                                              | TypeScript         |         47 |          4 |         12 |         63 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\cache.ts                                                                                            | TypeScript         |         59 |          0 |         12 |         71 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\event.ts                                                                                            | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\idProvider.ts                                                                                       | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\register.ts                                                                                         | TypeScript         |         57 |          0 |         11 |         68 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\selection.ts                                                                                        | TypeScript         |         61 |          0 |         12 |         73 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\strictEvent.ts                                                                                      | TypeScript         |         23 |          0 |          6 |         29 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\essentials\utils.ts                                                                                            | TypeScript         |        273 |         11 |         48 |        332 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\colorStyle.ts                                                                          | TypeScript         |         36 |          0 |          8 |         44 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\fillStyle.ts                                                                           | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\filterTypes.ts                                                                         | TypeScript         |         50 |          0 |          8 |         58 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\imageStyle.ts                                                                          | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\objectStyle.ts                                                                         | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\strokeStyle.ts                                                                         | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\styleTypes.ts                                                                          | TypeScript         |         46 |          0 |         15 |         61 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\textStyle.ts                                                                           | TypeScript         |         35 |          0 |          2 |         37 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\canvasStyles\unitTypes.ts                                                                           | TypeScript         |         24 |          1 |          1 |         26 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\circle.ts                                                                                           | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\color.ts                                                                                            | TypeScript         |         77 |          0 |          6 |         83 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\padding.ts                                                                                          | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\point.ts                                                                                            | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\rect.ts                                                                                             | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\size.ts                                                                                             | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\interfaces\transformations.ts                                                                                  | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\_control.scss                                                                                | SCSS               |         65 |          0 |         11 |         76 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\button\button.component.html                                                                 | HTML               |          4 |          0 |          0 |          4 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\button\button.component.scss                                                                 | SCSS               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\button\button.component.spec.ts                                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\button\button.component.ts                                                                   | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\content-viewer\content-viewer.component.html                                                 | HTML               |         25 |          0 |          0 |         25 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\content-viewer\content-viewer.component.scss                                                 | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\content-viewer\content-viewer.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\content-viewer\content-viewer.component.ts                                                   | TypeScript         |         46 |          0 |          9 |         55 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\divider\divider.component.html                                                               | HTML               |          6 |          0 |          0 |          6 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\divider\divider.component.scss                                                               | SCSS               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\divider\divider.component.spec.ts                                                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\divider\divider.component.ts                                                                 | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\pointer-mode-toggle\pointer-mode-toggle.component.html                                       | HTML               |          9 |          0 |          0 |          9 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\pointer-mode-toggle\pointer-mode-toggle.component.scss                                       | SCSS               |         17 |          0 |          3 |         20 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\pointer-mode-toggle\pointer-mode-toggle.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\pointer-mode-toggle\pointer-mode-toggle.component.ts                                         | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-tab.component.html                                                                    | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-tab.component.scss                                                                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-tab.component.spec.ts                                                                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-tab.component.ts                                                                      | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-text\ribbon-text.component.html                                                       | HTML               |          3 |          0 |          0 |          3 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-text\ribbon-text.component.scss                                                       | SCSS               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-text\ribbon-text.component.spec.ts                                                    | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\ribbon-text\ribbon-text.component.ts                                                         | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\toggle\toggle.component.html                                                                 | HTML               |          4 |          0 |          0 |          4 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\toggle\toggle.component.scss                                                                 | SCSS               |          1 |          0 |          0 |          1 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\toggle\toggle.component.spec.ts                                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon-tab\toggle\toggle.component.ts                                                                   | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon.component.html                                                                                   | HTML               |         15 |          0 |          0 |         15 |
| c:\Users\alber\Documents\Programmieren\Capella\Capella\src\app\global\ribbon\ribbon.component.scss                                                                                   | SCSS               |         41 |          0 |          8 |         49 |
